key,company,scenario,ebitda_report_ccy,target_multiple,implied_ev_bn,net_debt_bn,implied_price,current_price,implied_return_pct,earnings_effect_pct,multiple_effect_pct,note
HLMA,Halma plc,"Bear (-10% EBITDA, peer Q1)",596.5,29.05,17.33,0.77,4384.86,3530.0,24.2,-10.6,34.8,"Mechanical valuation scenario, not a price target"
HLMA,Halma plc,"Base (LTM EBITDA, current multiple)",662.8,21.28,14.1,0.77,3530.0,3530.0,-0.0,0.0,0.0,"Mechanical valuation scenario, not a price target"
HLMA,Halma plc,"Bull (+10% EBITDA, peer Q3)",729.1,36.99,26.97,0.77,6935.79,3530.0,96.5,10.6,85.9,"Mechanical valuation scenario, not a price target"
HLMA,Halma plc,Rerate to peer median,662.8,33.02,21.89,0.77,5590.72,3530.0,58.4,0.0,58.4,"Mechanical valuation scenario, not a price target"
HLMA,Halma plc,Rerate to sector median,662.8,17.38,11.52,0.77,2846.28,3530.0,-19.4,0.0,-19.4,"Mechanical valuation scenario, not a price target"
HLMA,Halma plc,Rerate to own 5y median,662.8,24.34,16.14,0.77,4068.27,3530.0,15.2,0.0,15.2,"Mechanical valuation scenario, not a price target"
IMI,IMI plc,"Bear (-10% EBITDA, peer Q1)",491.6,19.48,9.57,0.53,3626.98,2936.0,23.5,-10.7,34.3,"Mechanical valuation scenario, not a price target"
IMI,IMI plc,"Base (LTM EBITDA, current multiple)",546.2,14.37,7.85,0.53,2936.0,2936.0,0.0,0.0,0.0,"Mechanical valuation scenario, not a price target"
IMI,IMI plc,"Bull (+10% EBITDA, peer Q3)",600.8,25.58,15.37,0.53,5949.69,2936.0,102.6,10.7,91.9,"Mechanical valuation scenario, not a price target"
IMI,IMI plc,Rerate to peer median,546.2,21.35,11.66,0.53,4463.2,2936.0,52.0,0.0,52.0,"Mechanical valuation scenario, not a price target"
IMI,IMI plc,Rerate to sector median,546.2,17.38,9.49,0.53,3594.6,2936.0,22.4,0.0,22.4,"Mechanical valuation scenario, not a price target"
IMI,IMI plc,Rerate to own 5y median,546.2,11.16,6.1,0.53,2232.07,2936.0,-24.0,0.0,-24.0,"Mechanical valuation scenario, not a price target"
ROR,Rotork plc,"Bear (-10% EBITDA, peer Q1)",163.5,21.96,3.59,-0.07,428.05,486.2,-12.0,-9.8,-2.1,"Mechanical valuation scenario, not a price target"
ROR,Rotork plc,"Base (LTM EBITDA, current multiple)",181.7,22.5,4.09,-0.07,486.2,486.2,0.0,0.0,0.0,"Mechanical valuation scenario, not a price target"
ROR,Rotork plc,"Bull (+10% EBITDA, peer Q3)",199.9,26.64,5.32,-0.07,630.97,486.2,29.8,9.8,19.9,"Mechanical valuation scenario, not a price target"
ROR,Rotork plc,Rerate to peer median,181.7,24.15,4.39,-0.07,521.45,486.2,7.2,0.0,7.2,"Mechanical valuation scenario, not a price target"
ROR,Rotork plc,Rerate to sector median,181.7,17.38,3.16,-0.07,377.29,486.2,-22.4,0.0,-22.4,"Mechanical valuation scenario, not a price target"
ROR,Rotork plc,Rerate to own 5y median,181.7,16.34,2.97,-0.07,355.23,486.2,-26.9,0.0,-26.9,"Mechanical valuation scenario, not a price target"
SMIN,Smiths Group plc,"Bear (-10% EBITDA, peer Q1)",622.8,17.18,10.7,0.87,2835.04,2642.0,7.3,-11.0,18.3,"Mechanical valuation scenario, not a price target"
SMIN,Smiths Group plc,"Base (LTM EBITDA, current multiple)",692.0,14.49,10.03,0.87,2642.0,2642.0,0.0,0.0,0.0,"Mechanical valuation scenario, not a price target"
SMIN,Smiths Group plc,"Bull (+10% EBITDA, peer Q3)",761.2,25.58,19.47,0.87,5371.01,2642.0,103.3,11.0,92.3,"Mechanical valuation scenario, not a price target"
